No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Outer Box No.,Total Outer Box No.,Outer Box No.1,Item Code,NDC,HLR,Barcode
25,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6132 7454,0150 0000 6133 1453,4000,05,14,05,S833,0823,728,S833X015000006132745404000
26,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6133 1454,0150 0000 6133 5453,4000,06,14,06,S833,0823,728,S833X015000006133145404000
27,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6133 5454,0150 0000 6133 9453,4000,07,14,07,S833,0823,728,S833X015000006133545404000
28,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6133 9454,0150 0000 6134 3453,4000,08,14,08,S833,0823,728,S833X015000006133945404000
29,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6134 3454,0150 0000 6134 7453,4000,09,14,09,S833,0823,728,S833X015000006134345404000
30,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6134 7454,0150 0000 6135 1453,4000,10,14,10,S833,0823,728,S833X015000006134745404000
31,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6135 1454,0150 0000 6135 5453,4000,11,14,11,S833,0823,728,S833X015000006135145404000
32,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6135 5454,0150 0000 6135 9453,4000,12,14,12,S833,0823,728,S833X015000006135545404000
33,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6135 9454,0150 0000 6136 3453,4000,13,14,13,S833,0823,728,S833X015000006135945404000
34,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823728pn1,0150 0000 6136 3454,0150 0000 6136 6911,3458,14,14,14,S833,0823,728,S833X015000006136345403458
